Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
Q96G61,NUD11_HUMAN,NUDT11,sp|Q96G61|NUD11_HUMAN,Diphosphoinositol polyphosphate phosphohydrolase 3-beta,164,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.65289330471647,-14.65289330471647,0 min
Q96GA3,LTV1_HUMAN,LTV1,sp|Q96GA3|LTV1_HUMAN,Protein LTV1 homolog,475,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.799898096194186,15.259224665189176,-0.4593265689949906,0 min
Q96GD0,PLPP_HUMAN,PDXP,sp|Q96GD0|PLPP_HUMAN,Chronophin,296,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.767818124122865,15.33409971284182,0.4337184112810455,0 min
Q96GG9,DCNL1_HUMAN,DCUN1D1,sp|Q96GG9|DCNL1_HUMAN,DCN1-like protein 1,259,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.301089057755817,14.991785639932292,1.309303417823525,0 min
Q96GK7,FAH2A_HUMAN,FAHD2A,sp|Q96GK7|FAH2A_HUMAN,Fumarylacetoacetate hydrolase domain-containing protein 2A,314,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.674024668721577,15.589468047908086,0.08455662081349047,0 min
Q96GM5,SMRD1_HUMAN,SMARCD1,sp|Q96GM5|SMRD1_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,515,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.338702682161015,-14.338702682161015,0 min
Q96GM8,TOE1_HUMAN,TOE1,sp|Q96GM8|TOE1_HUMAN,Target of EGR1 protein 1,510,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.565002919427208,15.015012940941702,-0.450010021514494,0 min
Q96GQ5,RUSF1_HUMAN,RUSF1,sp|Q96GQ5|RUSF1_HUMAN,RUS family member 1,468,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.605328052596407,0.0,14.605328052596407,0 min
Q96GQ7,DDX27_HUMAN,DDX27,sp|Q96GQ7|DDX27_HUMAN,Probable ATP-dependent RNA helicase DDX27,796,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.916018381817542,15.224683053983611,0.6913353278339311,0 min
Q96GS4,BORC6_HUMAN,BORCS6,sp|Q96GS4|BORC6_HUMAN,BLOC-1-related complex subunit 6,357,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96GU1,PAGE5_HUMAN,PAGE5,sp|Q96GU1|PAGE5_HUMAN,P antigen family member 5,130,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96GW9,SYMM_HUMAN,MARS2,sp|Q96GW9|SYMM_HUMAN,"Methionine--tRNA ligase, mitochondrial",593,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.376593320831073,0.0,14.376593320831073,0 min
Q96GX2,A7L3B_HUMAN,ATXN7L3B,sp|Q96GX2|A7L3B_HUMAN,Ataxin-7-like protein 3B,97,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,0.0,0.0,0.0,0 min
Q96GX9,MTNB_HUMAN,APIP,sp|Q96GX9|MTNB_HUMAN,Methylthioribulose-1-phosphate dehydratase,242,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.693374514815222,15.267509829347688,0.4258646854675341,0 min
Q96GY3,LIN37_HUMAN,LIN37,sp|Q96GY3|LIN37_HUMAN,Protein lin-37 homolog,246,Homo sapiens,1:Experimental evidence at protein level,0.9989,0.999,0.0,0.0,0.0,0 min
Q96H79,ZCCHL_HUMAN,ZC3HAV1L,sp|Q96H79|ZCCHL_HUMAN,Zinc finger CCCH-type antiviral protein 1-like,300,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.745420443633959,15.85340132933468,-0.10798088570072117,0 min
Q96HA1,P121A_HUMAN,POM121,sp|Q96HA1|P121A_HUMAN,Nuclear envelope pore membrane protein POM 121,1249,Homo sapiens,1:Experimental evidence at protein level,0.9989,0.999,0.0,0.0,0.0,0 min
Q96HA8,NTAQ1_HUMAN,NTAQ1,sp|Q96HA8|NTAQ1_HUMAN,Protein N-terminal glutamine amidohydrolase,205,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.187536767483232,0.0,15.187536767483232,0 min
Q96HC4,PDLI5_HUMAN,PDLIM5,sp|Q96HC4|PDLI5_HUMAN,PDZ and LIM domain protein 5,596,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.191586244961302,15.289842748457191,-0.09825650349588955,0 min
Q96HE7,ERO1A_HUMAN,ERO1A,sp|Q96HE7|ERO1A_HUMAN,ERO1-like protein alpha,468,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.609991525987741,16.075203979977225,-0.4652124539894835,0 min
Q96HP4,OXND1_HUMAN,OXNAD1,sp|Q96HP4|OXND1_HUMAN,Oxidoreductase NAD-binding domain-containing protein 1,312,Homo sapiens,1:Experimental evidence at protein level,0.9319,0.999,0.0,0.0,0.0,0 min
Q96HQ2,C2AIL_HUMAN,CDKN2AIPNL,sp|Q96HQ2|C2AIL_HUMAN,CDKN2AIP N-terminal-like protein,116,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.272953247125509,0.0,14.272953247125509,0 min
Q96HS1,PGAM5_HUMAN,PGAM5,sp|Q96HS1|PGAM5_HUMAN,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",289,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.39294232780084,15.645171147867506,0.7477711799333324,0 min
Q96HW7,INT4_HUMAN,INTS4,sp|Q96HW7|INT4_HUMAN,Integrator complex subunit 4,963,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.770045484641296,-14.770045484641296,0 min
Q96HY6,DDRGK_HUMAN,DDRGK1,sp|Q96HY6|DDRGK_HUMAN,DDRGK domain-containing protein 1,314,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,13.511609118233729,13.623882747114102,-0.11227362888037362,0 min
Q96I15,SCLY_HUMAN,SCLY,sp|Q96I15|SCLY_HUMAN,Selenocysteine lyase,445,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.806411467856192,-14.806411467856192,0 min
Q96I24,FUBP3_HUMAN,FUBP3,sp|Q96I24|FUBP3_HUMAN,Far upstream element-binding protein 3,572,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.364267028245674,15.938618444488343,0.42564858375733117,0 min
Q96I25,SPF45_HUMAN,RBM17,sp|Q96I25|SPF45_HUMAN,Splicing factor 45,401,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.13124284874459,15.79690528050758,1.3343375682370109,0 min
Q96I45,TM141_HUMAN,TMEM141,sp|Q96I45|TM141_HUMAN,Transmembrane protein 141,108,Homo sapiens,1:Experimental evidence at protein level,0.9315,0.999,0.0,0.0,0.0,0 min
Q96I59,SYNM_HUMAN,NARS2,sp|Q96I59|SYNM_HUMAN,"Probable asparagine--tRNA ligase, mitochondrial",477,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.562425850471163,-14.562425850471163,0 min
Q96I99,SUCB2_HUMAN,SUCLG2,sp|Q96I99|SUCB2_HUMAN,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",432,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.189372005228325,15.49025265838729,0.6991193468410355,0 min
Q96IG2,FXL20_HUMAN,FBXL20,sp|Q96IG2|FXL20_HUMAN,F-box/LRR-repeat protein 20,436,Homo sapiens,1:Experimental evidence at protein level,0.9996,0.9985,0.0,13.889361455064213,-13.889361455064213,0 min
Q96IJ6,GMPPA_HUMAN,GMPPA,sp|Q96IJ6|GMPPA_HUMAN,Mannose-1-phosphate guanyltransferase alpha,420,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.319573341496502,14.973630287676674,0.3459430538198287,0 min
Q96IK0,TM101_HUMAN,TMEM101,sp|Q96IK0|TM101_HUMAN,Transmembrane protein 101,257,Homo sapiens,1:Experimental evidence at protein level,0.9319,0.999,0.0,15.462423764487689,-15.462423764487689,0 min
Q96IU4,ABHEB_HUMAN,ABHD14B,sp|Q96IU4|ABHEB_HUMAN,Putative protein-lysine deacylase ABHD14B,210,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.232619988568489,15.525389985518485,-0.29276999694999617,0 min
Q96IW7,SC22A_HUMAN,SEC22A,sp|Q96IW7|SC22A_HUMAN,Vesicle-trafficking protein SEC22a,307,Homo sapiens,1:Experimental evidence at protein level,0.9718,0.999,14.186293017388225,0.0,14.186293017388225,0 min
Q96IX5,ATPMK_HUMAN,ATP5MK,sp|Q96IX5|ATPMK_HUMAN,"ATP synthase membrane subunit K, mitochondrial",58,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.279202190070194,15.87257785576662,-0.593375665696426,0 min
Q96IY1,NSL1_HUMAN,NSL1,sp|Q96IY1|NSL1_HUMAN,Kinetochore-associated protein NSL1 homolog,281,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.546204319430293,14.149485877247493,1.3967184421828005,0 min
Q96IZ0,PAWR_HUMAN,PAWR,sp|Q96IZ0|PAWR_HUMAN,PRKC apoptosis WT1 regulator protein,340,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96J01,THOC3_HUMAN,THOC3,sp|Q96J01|THOC3_HUMAN,THO complex subunit 3,351,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.012205277627544,15.780630368787222,1.2315749088403223,0 min
Q96JB2,COG3_HUMAN,COG3,sp|Q96JB2|COG3_HUMAN,Conserved oligomeric Golgi complex subunit 3,828,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.562485596119352,0.0,14.562485596119352,0 min
Q96JB5,CK5P3_HUMAN,CDK5RAP3,sp|Q96JB5|CK5P3_HUMAN,CDK5 regulatory subunit-associated protein 3,506,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.09445237638804,16.89899903729312,-0.8045466609050784,0 min
Q96JC9,EAF1_HUMAN,EAF1,sp|Q96JC9|EAF1_HUMAN,ELL-associated factor 1,268,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.500729242395009,-13.500729242395009,0 min
Q96JH7,VCIP1_HUMAN,VCPIP1,sp|Q96JH7|VCIP1_HUMAN,Deubiquitinating protein VCPIP1,1222,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.803205438800385,14.602567172494775,0.2006382663056101,0 min
Q96JJ3,ELMO2_HUMAN,ELMO2,sp|Q96JJ3|ELMO2_HUMAN,Engulfment and cell motility protein 2,720,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.021620174992421,14.634451238901741,0.3871689360906796,0 min
Q96JJ7,TMX3_HUMAN,TMX3,sp|Q96JJ7|TMX3_HUMAN,Protein disulfide-isomerase TMX3,454,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.781070530750801,-13.781070530750801,0 min
Q96JM3,CHAP1_HUMAN,CHAMP1,sp|Q96JM3|CHAP1_HUMAN,Chromosome alignment-maintaining phosphoprotein 1,812,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.93402383864792,15.47804104261994,0.4559827960279801,0 min
Q96K17,BT3L4_HUMAN,BTF3L4,sp|Q96K17|BT3L4_HUMAN,Transcription factor BTF3 homolog 4,158,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.122163405482816,15.323371828403198,1.7987915770796175,0 min
Q96K21,ANCHR_HUMAN,ZFYVE19,sp|Q96K21|ANCHR_HUMAN,Abscission/NoCut checkpoint regulator,471,Homo sapiens,1:Experimental evidence at protein level,0.9996,0.999,14.610947310326587,0.0,14.610947310326587,0 min
Q96K37,S35E1_HUMAN,SLC35E1,sp|Q96K37|S35E1_HUMAN,Solute carrier family 35 member E1,410,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.162150544767218,15.081538029120502,-0.9193874843532832,0 min
Q96K58,ZN668_HUMAN,ZNF668,sp|Q96K58|ZN668_HUMAN,Zinc finger protein 668,619,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.475145696712028,-15.475145696712028,0 min
Q96K80,ZC3HA_HUMAN,ZC3H10,sp|Q96K80|ZC3HA_HUMAN,Zinc finger CCCH domain-containing protein 10,434,Homo sapiens,1:Experimental evidence at protein level,0.9319,0.999,0.0,12.601023717174934,-12.601023717174934,0 min
Q96KB5,TOPK_HUMAN,PBK,sp|Q96KB5|TOPK_HUMAN,Lymphokine-activated killer T-cell-originated protein kinase,322,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.259560855967916,14.879569322254659,1.3799915337132571,0 min
Q96KF7,SMIM8_HUMAN,SMIM8,sp|Q96KF7|SMIM8_HUMAN,Small integral membrane protein 8,97,Homo sapiens,1:Experimental evidence at protein level,0.9318,0.999,0.0,0.0,0.0,0 min
Q96KN7,RPGR1_HUMAN,RPGRIP1,sp|Q96KN7|RPGR1_HUMAN,X-linked retinitis pigmentosa GTPase regulator-interacting protein 1,1286,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.9988,0.0,13.921432286030194,-13.921432286030194,0 min
Q96KP1,EXOC2_HUMAN,EXOC2,sp|Q96KP1|EXOC2_HUMAN,Exocyst complex component 2,924,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.945930718657424,14.273352263634797,1.6725784550226273,0 min
Q96KP4,CNDP2_HUMAN,CNDP2,sp|Q96KP4|CNDP2_HUMAN,Cytosolic non-specific dipeptidase,475,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.148440236291968,15.757135785936434,0.3913044503555341,0 min
Q96KR1,ZFR_HUMAN,ZFR,sp|Q96KR1|ZFR_HUMAN,Zinc finger RNA-binding protein,1074,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.499611573335535,16.338750308134514,0.16086126520102084,0 min
Q96LI5,CNO6L_HUMAN,CNOT6L,sp|Q96LI5|CNO6L_HUMAN,CCR4-NOT transcription complex subunit 6-like,555,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,11.105089265103652,-11.105089265103652,0 min
Q96LR5,UB2E2_HUMAN,UBE2E2,sp|Q96LR5|UB2E2_HUMAN,Ubiquitin-conjugating enzyme E2 E2,201,Homo sapiens,1:Experimental evidence at protein level,0.999,0.999,13.94054659376986,0.0,13.94054659376986,0 min
Q96M89,CC138_HUMAN,CCDC138,sp|Q96M89|CC138_HUMAN,Coiled-coil domain-containing protein 138,665,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9988,0.0,0.0,0.0,0 min
Q96MF7,NSE2_HUMAN,NSMCE2,sp|Q96MF7|NSE2_HUMAN,E3 SUMO-protein ligase NSE2,247,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.043966609800927,-14.043966609800927,0 min
Q96MG7,NSE3_HUMAN,NSMCE3,sp|Q96MG7|NSE3_HUMAN,Non-structural maintenance of chromosomes element 3 homolog,304,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.30319781701026,-14.30319781701026,0 min
Q96MH2,HEXI2_HUMAN,HEXIM2,sp|Q96MH2|HEXI2_HUMAN,Protein HEXIM2,286,Homo sapiens,1:Experimental evidence at protein level,0.9994,0.999,0.0,13.565107911026493,-13.565107911026493,0 min
Q96MH6,TMM68_HUMAN,TMEM68,sp|Q96MH6|TMM68_HUMAN,Transmembrane protein 68,324,Homo sapiens,2:Experimental evidence at transcript level,0.9998,0.999,0.0,0.0,0.0,0 min
Q96MT8,CEP63_HUMAN,CEP63,sp|Q96MT8|CEP63_HUMAN,Centrosomal protein of 63 kDa,703,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.621892070583925,-13.621892070583925,0 min
Q96MW1,CCD43_HUMAN,CCDC43,sp|Q96MW1|CCD43_HUMAN,Coiled-coil domain-containing protein 43,224,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.040653174791764,14.046556711026849,1.9940964637649152,0 min
Q96MW5,COG8_HUMAN,COG8,sp|Q96MW5|COG8_HUMAN,Conserved oligomeric Golgi complex subunit 8,612,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.564959646856396,-14.564959646856396,0 min
Q96NB1,CEP20_HUMAN,CEP20,sp|Q96NB1|CEP20_HUMAN,Centrosomal protein 20,174,Homo sapiens,1:Experimental evidence at protein level,0.9916,0.999,0.0,0.0,0.0,0 min
Q96NB2,SFXN2_HUMAN,SFXN2,sp|Q96NB2|SFXN2_HUMAN,Sideroflexin-2,322,Homo sapiens,1:Experimental evidence at protein level,0.9954,0.9987,0.0,0.0,0.0,0 min
Q96NB3,ZN830_HUMAN,ZNF830,sp|Q96NB3|ZN830_HUMAN,Zinc finger protein 830,372,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.466204074852097,-14.466204074852097,0 min
Q96NC0,ZMAT2_HUMAN,ZMAT2,sp|Q96NC0|ZMAT2_HUMAN,Zinc finger matrin-type protein 2,199,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.583834660968854,-14.583834660968854,0 min
Q96ND0,F210A_HUMAN,FAM210A,sp|Q96ND0|F210A_HUMAN,Protein FAM210A,272,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96NL8,CF418_HUMAN,CFAP418,sp|Q96NL8|CF418_HUMAN,Cilia- and flagella-associated protein 418,207,Homo sapiens,1:Experimental evidence at protein level,0.9719,0.999,0.0,0.0,0.0,0 min
Q96NY8,NECT4_HUMAN,NECTIN4,sp|Q96NY8|NECT4_HUMAN,Nectin-4,510,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,0.0,0.0,0.0,0 min
Q96P16,RPR1A_HUMAN,RPRD1A,sp|Q96P16|RPR1A_HUMAN,Regulation of nuclear pre-mRNA domain-containing protein 1A,312,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.621084873790855,14.745366552644324,-0.1242816788534693,0 min
Q96P53,WDFY2_HUMAN,WDFY2,sp|Q96P53|WDFY2_HUMAN,WD repeat and FYVE domain-containing protein 2,400,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.9988,0.0,0.0,0.0,0 min
Q96P70,IPO9_HUMAN,IPO9,sp|Q96P70|IPO9_HUMAN,Importin-9,1041,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.983859359557444,15.591441204380287,-0.6075818448228425,0 min
Q96PC5,MIA2_HUMAN,MIA2,sp|Q96PC5|MIA2_HUMAN,Melanoma inhibitory activity protein 2,1412,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.254488638757449,-13.254488638757449,0 min
Q96PK6,RBM14_HUMAN,RBM14,sp|Q96PK6|RBM14_HUMAN,RNA-binding protein 14,669,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,18.103593221672995,17.333471866225437,0.7701213554475572,0 min
Q96PU4,UHRF2_HUMAN,UHRF2,sp|Q96PU4|UHRF2_HUMAN,E3 ubiquitin-protein ligase UHRF2,802,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.213246947626907,-14.213246947626907,0 min
Q96PV6,LENG8_HUMAN,LENG8,sp|Q96PV6|LENG8_HUMAN,Leukocyte receptor cluster member 8,800,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.476531302304778,-13.476531302304778,0 min
Q96PV7,F193B_HUMAN,FAM193B,sp|Q96PV7|F193B_HUMAN,Protein FAM193B,902,Homo sapiens,1:Experimental evidence at protein level,0.9868,0.999,0.0,0.0,0.0,0 min
Q96PZ2,F111A_HUMAN,FAM111A,sp|Q96PZ2|F111A_HUMAN,Serine protease FAM111A,611,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96Q15,SMG1_HUMAN,SMG1,sp|Q96Q15|SMG1_HUMAN,Serine/threonine-protein kinase SMG1,3661,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.736735346884457,-14.736735346884457,0 min
Q96Q83,ALKB3_HUMAN,ALKBH3,sp|Q96Q83|ALKB3_HUMAN,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,286,Homo sapiens,1:Experimental evidence at protein level,0.9926,0.999,0.0,0.0,0.0,0 min
Q96QC0,PP1RA_HUMAN,PPP1R10,sp|Q96QC0|PP1RA_HUMAN,Serine/threonine-protein phosphatase 1 regulatory subunit 10,940,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.3095900369144,14.603627040372452,0.7059629965419489,0 min
Q96QD8,S38A2_HUMAN,SLC38A2,sp|Q96QD8|S38A2_HUMAN,Sodium-coupled neutral amino acid symporter 2,506,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,13.645997002749933,14.303003763556221,-0.6570067608062882,0 min
Q96QE3,ATAD5_HUMAN,ATAD5,sp|Q96QE3|ATAD5_HUMAN,ATPase family AAA domain-containing protein 5,1844,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96QG7,MTMR9_HUMAN,MTMR9,sp|Q96QG7|MTMR9_HUMAN,Myotubularin-related protein 9,549,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.662305097264523,0.0,14.662305097264523,0 min
Q96QK1,VPS35_HUMAN,VPS35,sp|Q96QK1|VPS35_HUMAN,Vacuolar protein sorting-associated protein 35,796,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.706568188780572,16.475253223108403,0.23131496567216914,0 min
Q96QR8,PURB_HUMAN,PURB,sp|Q96QR8|PURB_HUMAN,Transcriptional activator protein Pur-beta,312,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.22065492857988,15.478313018160518,0.7423419104193609,0 min
Q96QU8,XPO6_HUMAN,XPO6,sp|Q96QU8|XPO6_HUMAN,Exportin-6,1125,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.727637693503587,-14.727637693503587,0 min
Q96R06,SPAG5_HUMAN,SPAG5,sp|Q96R06|SPAG5_HUMAN,Sperm-associated antigen 5,1193,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.2532347855241,14.675253702018606,1.5779810835054935,0 min
Q96RE7,NACC1_HUMAN,NACC1,sp|Q96RE7|NACC1_HUMAN,Nucleus accumbens-associated protein 1,527,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.024752703383292,14.754562065928539,0.27019063745475336,0 min
Q96RL1,UIMC1_HUMAN,UIMC1,sp|Q96RL1|UIMC1_HUMAN,BRCA1-A complex subunit RAP80,719,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.129147154081261,14.267434407679456,0.8617127464018051,0 min
Q96RP9,EFGM_HUMAN,GFM1,sp|Q96RP9|EFGM_HUMAN,"Elongation factor G, mitochondrial",751,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.081077269260149,15.04761834758046,0.03345892167968856,0 min
Q96RQ1,ERGI2_HUMAN,ERGIC2,sp|Q96RQ1|ERGI2_HUMAN,Endoplasmic reticulum-Golgi intermediate compartment protein 2,377,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.169095401165796,-14.169095401165796,0 min
Q96RQ3,MCCA_HUMAN,MCCC1,sp|Q96RQ3|MCCA_HUMAN,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",725,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.573951562616678,0.0,14.573951562616678,0 min
Q96RS0,TGS1_HUMAN,TGS1,sp|Q96RS0|TGS1_HUMAN,Trimethylguanosine synthase,853,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96RS6,NUDC1_HUMAN,NUDCD1,sp|Q96RS6|NUDC1_HUMAN,NudC domain-containing protein 1,583,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.242984632202642,14.70016750732118,0.5428171248814628,0 min
Q96S19,MTL26_HUMAN,METTL26,sp|Q96S19|MTL26_HUMAN,Methyltransferase-like 26,204,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.165280590335154,14.338029762455125,-0.1727491721199712,0 min
Q96S44,PRPK_HUMAN,TP53RK,sp|Q96S44|PRPK_HUMAN,EKC/KEOPS complex subunit TP53RK,253,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.334667744492796,14.64804052504998,0.6866272194428156,0 min
Q96S52,PIGS_HUMAN,PIGS,sp|Q96S52|PIGS_HUMAN,GPI transamidase component PIG-S,555,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96S59,RANB9_HUMAN,RANBP9,sp|Q96S59|RANB9_HUMAN,Ran-binding protein 9,729,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.48186680420324,15.35141093527991,0.13045586892332928,0 min
Q96S82,UBL7_HUMAN,UBL7,sp|Q96S82|UBL7_HUMAN,Ubiquitin-like protein 7,380,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.202832826661915,14.739731886354834,0.46310094030708093,0 min
Q96S94,CCNL2_HUMAN,CCNL2,sp|Q96S94|CCNL2_HUMAN,Cyclin-L2,520,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
Q96S97,MYADM_HUMAN,MYADM,sp|Q96S97|MYADM_HUMAN,Myeloid-associated differentiation marker,322,Homo sapiens,1:Experimental evidence at protein level,0.9319,0.999,0.0,13.827971215519083,-13.827971215519083,0 min
Q96S99,PKHF1_HUMAN,PLEKHF1,sp|Q96S99|PKHF1_HUMAN,Pleckstrin homology domain-containing family F member 1,279,Homo sapiens,1:Experimental evidence at protein level,0.9719,0.999,15.119885910149605,14.856358411396982,0.26352749875262305,0 min
Q96SB3,NEB2_HUMAN,PPP1R9B,sp|Q96SB3|NEB2_HUMAN,Neurabin-2,817,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.584368593485214,14.873507267492428,-0.28913867400721394,0 min
Q96SB8,SMC6_HUMAN,SMC6,sp|Q96SB8|SMC6_HUMAN,Structural maintenance of chromosomes protein 6,1091,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.0191411191177,14.864312104079229,0.15482901503847124,0 min
Q96SI9,STRBP_HUMAN,STRBP,sp|Q96SI9|STRBP_HUMAN,Spermatid perinuclear RNA-binding protein,672,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,18.17690786984654,18.047791604878217,0.1291162649683244,0 min
Q96SK2,TM209_HUMAN,TMEM209,sp|Q96SK2|TM209_HUMAN,Transmembrane protein 209,561,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.444827252269285,14.805091237515741,0.6397360147535434,0 min
Q96ST3,SIN3A_HUMAN,SIN3A,sp|Q96ST3|SIN3A_HUMAN,Paired amphipathic helix protein Sin3a,1273,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.688482542483221,14.599350574240741,1.08913196824248,0 min
Q96SY0,INT14_HUMAN,INTS14,sp|Q96SY0|INT14_HUMAN,Integrator complex subunit 14,518,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.619461730263277,-14.619461730263277,0 min
Q96SZ5,AEDO_HUMAN,ADO,sp|Q96SZ5|AEDO_HUMAN,2-aminoethanethiol dioxygenase,270,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.538665102909473,-13.538665102909473,0 min
